emp_no,first_name,last_name,birth_date,from_date,to_date,title
95384,Chinya,Jiafu,1955-08-27,1989-02-20,9999-01-01,Engineer
95386,Maik,Claffy,1955-05-03,2000-03-31,9999-01-01,Senior Engineer
95389,Lunjin,Lund,1955-01-30,1986-09-13,9999-01-01,Engineer
95391,Hatem,Kemmerer,1955-02-02,1989-09-17,9999-01-01,Senior Engineer
95401,Tru,Walston,1955-09-16,1995-08-15,9999-01-01,Senior Engineer
95424,Krister,Garnham,1955-07-07,1990-07-30,9999-01-01,Staff
95426,Shridhar,Candan,1955-02-27,1997-01-13,9999-01-01,Engineer
95431,Anyuan,Braunmuhl,1955-05-20,1988-04-03,9999-01-01,Senior Engineer
95439,Shuji,Cannata,1955-01-04,1992-03-01,9999-01-01,Senior Staff
95443,Shigeo,Kitai,1955-10-05,1991-01-22,9999-01-01,Staff
95460,Bedir,Oskamp,1955-06-09,1999-04-06,9999-01-01,Engineer
95473,Roselyn,Wallrath,1955-08-19,1988-03-15,9999-01-01,Senior Engineer
95474,Guiseppe,Akazan,1955-01-22,1986-04-22,9999-01-01,Senior Staff
95496,Stein,Hinsberger,1955-12-10,1994-11-08,9999-01-01,Technique Leader
95521,Yuichiro,Savasere,1955-11-11,1999-02-16,9999-01-01,Engineer
95531,Monique,Petersohn,1955-07-02,1991-05-10,9999-01-01,Senior Staff
95541,Chinho,Whitcomb,1955-03-27,1993-06-17,9999-01-01,Engineer
95570,Gregory,Kadhim,1955-07-07,1987-10-17,9999-01-01,Staff
95595,Tse,Leijenhorst,1955-08-13,1995-08-09,9999-01-01,Senior Engineer
95602,Shounak,Litvinov,1955-03-21,1986-07-16,9999-01-01,Staff
95620,Arunachalam,Dayang,1955-05-06,1997-01-01,9999-01-01,Engineer
95670,Shaleah,Krybus,1955-06-29,1998-06-03,9999-01-01,Staff
95702,Nakhoon,Gargeya,1955-11-27,1992-06-06,9999-01-01,Senior Engineer
95706,Kyoichi,Nyanchama,1955-12-26,1997-08-29,9999-01-01,Staff
95714,Doohun,Kaiserswerth,1955-08-06,1994-12-07,9999-01-01,Engineer
95733,Yuchang,Talmor,1955-08-02,1989-12-31,9999-01-01,Senior Engineer
95735,Mircea,Rande,1955-12-04,1988-10-26,9999-01-01,Senior Engineer
95746,Piyawadee,Rodham,1955-10-10,1986-03-14,9999-01-01,Senior Staff
95748,Toshiko,Welham,1955-01-23,1998-06-04,9999-01-01,Senior Staff
95772,Ziva,Sinicrope,1955-02-26,1992-02-10,9999-01-01,Engineer
95775,Nobuyoshi,Kading,1955-12-30,1989-04-01,9999-01-01,Senior Staff
95786,Dharmaraja,Peral,1955-01-23,1985-09-25,9999-01-01,Senior Engineer
95820,Hyuckchul,Perri,1955-04-26,1991-05-25,9999-01-01,Senior Engineer
95822,Divine,Teitelbaum,1955-08-14,1999-07-09,9999-01-01,Engineer
95825,Felicidad,Zyda,1955-03-05,1997-12-28,9999-01-01,Engineer
95837,Pascal,Boissier,1955-09-17,1990-03-13,9999-01-01,Senior Engineer
95838,Keung,Denti,1955-02-12,1999-01-08,9999-01-01,Senior Staff
95844,Perla,Chenney,1955-03-14,1998-07-28,9999-01-01,Staff
95853,Manton,Flasterstein,1955-08-24,1996-12-21,9999-01-01,Engineer
95867,Shakhar,Meszaros,1955-05-06,1985-02-02,9999-01-01,Staff
95870,Manibrata,Bennet,1955-10-07,1999-08-28,9999-01-01,Assistant Engineer
95883,Eirik,Koshiba,1955-05-15,1987-07-05,9999-01-01,Staff
95903,Hinrich,Eiter,1955-04-26,1996-10-09,9999-01-01,Staff
95915,Ung,Marsiglia,1955-03-08,1998-12-20,9999-01-01,Engineer
95923,Richard,Rijsenbrij,1955-05-10,1998-10-02,9999-01-01,Senior Engineer
95935,Aran,Bolsens,1955-04-26,1998-03-22,9999-01-01,Senior Staff
95946,Kellie,Ertl,1955-09-14,1985-02-20,9999-01-01,Senior Staff
95964,Zhanqiu,Zongker,1955-12-22,2001-01-01,9999-01-01,Senior Engineer
95977,Hirochika,Gladwell,1955-02-06,1998-11-27,9999-01-01,Engineer
96018,Doowon,Colorni,1955-10-15,1993-03-14,9999-01-01,Staff
96051,Aiman,Leslie,1955-02-08,2002-02-19,9999-01-01,Staff
96054,Oscar,Ranon,1955-06-24,1992-01-22,9999-01-01,Senior Engineer
96083,Khalil,Muchinsky,1955-08-27,1993-06-03,9999-01-01,Senior Staff
96084,Hauke,Piazza,1955-01-28,1995-06-22,9999-01-01,Staff
96093,Satosi,Coorg,1955-09-09,1990-01-20,9999-01-01,Senior Staff
96095,Magy,Radwan,1955-12-31,1992-03-14,9999-01-01,Assistant Engineer
96107,Luise,Geffroy,1955-08-08,1987-07-06,9999-01-01,Engineer
96132,Sachem,Wroclawski,1955-01-03,1995-05-03,9999-01-01,Engineer
96138,Lidong,Ghalwash,1955-11-13,1995-07-13,9999-01-01,Senior Engineer
96151,Boaz,Rosay,1955-10-04,1990-04-30,9999-01-01,Senior Engineer
96157,Kwangyoen,Haldar,1955-05-05,1985-10-14,9999-01-01,Staff
96196,Berthier,Zambonelli,1955-04-24,1994-07-30,9999-01-01,Engineer
96268,Jingling,Kropatsch,1955-09-09,1989-11-02,9999-01-01,Senior Engineer
96298,Martial,Marakhovsky,1955-06-14,1998-04-02,9999-01-01,Staff
96299,Cullen,Perko,1955-10-15,1985-03-04,9999-01-01,Staff
96300,Gift,Neiman,1955-02-28,1989-07-14,9999-01-01,Engineer
96303,Kirk,Pulkowski,1955-10-02,1999-07-18,9999-01-01,Assistant Engineer
96341,Nidapan,Ranai,1955-07-10,1987-01-08,9999-01-01,Staff
96346,Gian,Pettis,1955-08-07,1997-11-17,9999-01-01,Engineer
96348,Gal,Melter,1955-09-29,1998-04-24,9999-01-01,Staff
96379,Oguz,Perez,1955-07-04,1994-05-06,9999-01-01,Senior Staff
96400,Guenter,Doering,1955-01-30,1993-11-10,9999-01-01,Engineer
96405,Subbu,Barreiro,1955-05-22,1998-04-11,9999-01-01,Engineer
96412,Shaunak,Bressoud,1955-08-30,1991-04-23,9999-01-01,Technique Leader
96429,Jixiang,Callaway,1955-10-22,1993-07-27,9999-01-01,Staff
96456,Udi,Cincotta,1955-07-14,1996-08-31,9999-01-01,Staff
96459,Bojan,Matheson,1955-03-27,1986-12-02,9999-01-01,Senior Staff
96518,Basant,Gecsei,1955-06-01,1992-11-29,9999-01-01,Technique Leader
96588,Huan,Cappello,1955-12-12,1990-10-02,9999-01-01,Technique Leader
96603,Zissis,Markovitch,1955-09-02,1994-08-14,9999-01-01,Staff
96621,Adin,Anandan,1955-04-16,1994-04-30,9999-01-01,Assistant Engineer
96629,Arie,Reutenauer,1955-11-16,1987-03-08,9999-01-01,Senior Engineer
96673,Hironobu,Oxman,1955-10-10,1993-03-16,9999-01-01,Engineer
96691,Ekawit,Michaels,1955-12-27,1990-01-24,9999-01-01,Senior Engineer
96698,Weiye,Vesel,1955-04-25,1994-12-16,9999-01-01,Technique Leader
96704,Baziley,Koshino,1955-06-13,1991-10-09,9999-01-01,Senior Engineer
96712,Kasturi,Marrakchi,1955-06-28,1992-10-08,9999-01-01,Staff
96718,Renee,Baumann,1955-03-04,1994-03-30,9999-01-01,Senior Engineer
96724,Kyoichi,Litzler,1955-02-19,1988-09-19,9999-01-01,Senior Engineer
96728,Munehiro,Improta,1955-07-01,1991-02-28,9999-01-01,Engineer
96735,Zejun,Conti,1955-10-12,1990-05-15,9999-01-01,Senior Engineer
96746,Heping,Bale,1955-11-23,1997-12-24,9999-01-01,Engineer
96753,Claude,Giveon,1955-03-30,1986-03-30,9999-01-01,Senior Staff
96766,Van,Trachtenberg,1955-01-16,1986-10-26,9999-01-01,Technique Leader
96773,Leah,Gill,1955-04-30,1989-03-16,9999-01-01,Senior Staff
96797,Munehiro,Highland,1955-12-18,1998-05-11,9999-01-01,Engineer
96811,Jingling,Ressouche,1955-01-30,1994-04-12,9999-01-01,Senior Engineer
96848,Khalid,Ranst,1955-09-13,1993-03-04,9999-01-01,Senior Staff
96865,Josyula,Ulupinar,1955-01-19,1985-12-25,9999-01-01,Engineer
96914,Anoosh,Hambrick,1955-10-25,1991-06-12,9999-01-01,Senior Staff
96915,Youngkon,Kowalchuk,1955-10-20,1990-11-12,9999-01-01,Senior Engineer
96919,Khaled,Granlund,1955-02-23,1985-03-10,9999-01-01,Staff
96944,Yurij,Rabehasaina,1955-11-29,1997-05-14,9999-01-01,Engineer
96946,Mikhail,Kakkar,1955-09-10,1990-05-13,9999-01-01,Senior Staff
96952,Bodo,Chleq,1955-11-10,1997-03-14,9999-01-01,Senior Engineer
96965,Marjo,Riexinger,1955-01-07,1999-10-27,9999-01-01,Staff
96991,Bingning,Varker,1955-04-15,1996-05-15,9999-01-01,Staff
96998,Eric,Neimat,1955-01-24,1998-03-31,9999-01-01,Staff
97005,Navid,Hiyoshi,1955-07-08,1999-12-19,9999-01-01,Senior Staff
97006,Remmert,Trystram,1955-01-19,2000-07-16,9999-01-01,Engineer
97007,Suzette,Solares,1955-12-09,1998-09-22,9999-01-01,Engineer
97013,Rasikan,Suri,1955-01-16,1990-06-19,9999-01-01,Engineer
97020,Odinaldo,Varley,1955-12-22,1995-05-26,9999-01-01,Senior Engineer
97025,Xuejia,Peot,1955-08-16,1992-05-01,9999-01-01,Senior Engineer
97045,Hyuncheol,Isaak,1955-03-26,1994-11-15,9999-01-01,Staff
97052,Yoshimitsu,Ushiama,1955-10-18,1993-03-14,9999-01-01,Senior Engineer
97077,Subbu,Fontan,1955-08-25,1987-04-06,9999-01-01,Senior Engineer
97081,Nimmagadda,Covnot,1955-12-25,1995-09-24,9999-01-01,Staff
97089,Magy,Georg,1955-12-15,1986-05-19,9999-01-01,Engineer
97105,Arif,Zuberek,1955-02-10,1995-07-12,9999-01-01,Engineer
97115,Giao,Flowers,1955-12-17,2002-04-05,9999-01-01,Engineer
97122,Yoshinari,Cullers,1955-08-07,1993-11-27,9999-01-01,Senior Staff
97126,Nitsan,Heyers,1955-07-21,1998-08-10,9999-01-01,Senior Engineer
97145,Satosi,Neimat,1955-02-24,1997-09-03,9999-01-01,Assistant Engineer
97152,Karlis,Frolund,1955-03-21,1989-05-29,9999-01-01,Senior Engineer
97308,Gaetan,Benantar,1955-03-16,1996-12-15,9999-01-01,Assistant Engineer
97354,Piyush,Werthner,1955-04-21,1996-12-12,9999-01-01,Engineer
97355,Hideo,Warwick,1955-08-08,1987-01-04,9999-01-01,Engineer
97371,Tuval,Shackel,1955-07-31,1993-06-21,9999-01-01,Engineer
97374,Kotesh,Strandh,1955-02-26,1992-05-18,9999-01-01,Staff
97375,Nevio,Hofstetter,1955-01-26,1994-03-27,9999-01-01,Senior Staff
97383,Kaijung,Pavlopoulou,1955-04-15,1998-01-01,9999-01-01,Senior Staff
97399,Hironobu,Keirsey,1955-04-15,1990-05-13,9999-01-01,Senior Engineer
97409,Jouni,Merel,1955-01-29,1995-11-11,9999-01-01,Staff
97412,Shao,Coney,1955-02-24,1994-09-03,9999-01-01,Senior Engineer
97417,Mountaz,Shiratori,1955-10-01,1993-10-10,9999-01-01,Staff
97452,Krister,Sridhar,1955-09-04,1988-04-12,9999-01-01,Senior Engineer
97492,Dante,Schnabel,1955-11-30,1988-10-12,9999-01-01,Staff
97502,Ibibia,Lindenbaum,1955-05-17,1998-07-25,9999-01-01,Engineer
97512,Djelloul,DeMori,1955-06-18,1986-06-14,9999-01-01,Engineer
97521,Arch,Egerstedt,1955-08-04,1989-04-16,9999-01-01,Staff
97523,Bikash,Suppi,1955-12-29,1987-10-05,9999-01-01,Senior Staff
97525,Shih,Krider,1955-03-29,1985-03-03,9999-01-01,Technique Leader
97587,Mohamadou,Angel,1955-07-27,1997-07-14,9999-01-01,Engineer
97620,Duangkaew,Debuse,1955-09-25,1987-01-24,9999-01-01,Senior Staff
97643,Sigeru,Nannarelli,1955-05-02,1988-05-13,9999-01-01,Engineer
97665,Yakichi,Undy,1955-01-31,1990-07-20,9999-01-01,Staff
97670,Flemming,Yurek,1955-04-29,1994-03-24,9999-01-01,Senior Staff
97695,Sreekrishna,Fendler,1955-08-15,1986-07-12,9999-01-01,Senior Staff
97712,Sarita,Mateescu,1955-06-16,1995-06-17,9999-01-01,Senior Staff
97724,Jagoda,Pezzoli,1955-08-18,1998-10-13,9999-01-01,Assistant Engineer
97726,Guther,Veevers,1955-06-19,1986-04-16,9999-01-01,Senior Staff
97748,Kousuke,Luef,1955-08-02,1998-09-13,9999-01-01,Technique Leader
97754,Marsja,Lovengreen,1955-02-28,1993-03-14,9999-01-01,Senior Engineer
97756,Takanari,Hofstetter,1955-06-03,1992-01-17,9999-01-01,Engineer
97781,Divine,Neimat,1955-01-23,1987-06-23,9999-01-01,Senior Staff
97782,Taiji,Openshaw,1955-01-28,1989-02-25,9999-01-01,Senior Engineer
97803,Randy,Keirsey,1955-02-07,1988-08-28,9999-01-01,Staff
97807,Satyanarayana,Felcyn,1955-01-01,1989-07-17,9999-01-01,Assistant Engineer
97818,Kauko,Siepmann,1955-02-15,1992-09-28,9999-01-01,Senior Staff
97822,Adhemar,Janetzko,1955-10-01,1997-04-05,9999-01-01,Senior Staff
97847,Marek,DasSarma,1955-07-16,1997-08-13,9999-01-01,Senior Engineer
97897,Mikhail,Flasterstein,1955-04-21,1997-09-06,9999-01-01,Staff
97905,Tianruo,Michaeli,1955-10-14,1989-07-17,9999-01-01,Staff
97912,Nigel,Shobatake,1955-01-21,1995-03-14,9999-01-01,Technique Leader
97923,Haldon,Lienhardt,1955-03-13,1992-08-15,9999-01-01,Senior Engineer
97931,Malu,Beidas,1955-05-29,1996-10-20,9999-01-01,Engineer
97948,Henk,Geffroy,1955-11-11,2000-09-02,9999-01-01,Senior Staff
98017,Sachio,Gils,1955-11-28,1985-05-21,9999-01-01,Staff
98018,Yongdong,Pileggi,1955-09-17,1995-03-08,9999-01-01,Staff
98019,Gonzalo,Clouatre,1955-01-25,1997-04-15,9999-01-01,Staff
98047,Gill,Nitsche,1955-01-18,1990-07-13,9999-01-01,Senior Staff
98063,Danco,Rusterholz,1955-06-13,1988-05-25,9999-01-01,Assistant Engineer
98081,Itzchak,Barreiro,1955-04-27,1993-04-30,9999-01-01,Staff
98083,Nitsan,Vieth,1955-01-24,1998-02-10,9999-01-01,Engineer
98095,Remco,Maquelin,1955-01-12,1994-10-13,9999-01-01,Engineer
98128,Kazuhisa,Ambroszkiewicz,1955-07-31,1994-01-11,9999-01-01,Staff
98174,Rutger,Salverda,1955-11-14,1992-09-06,9999-01-01,Senior Engineer
98179,Oguz,Verhaegen,1955-02-12,1997-12-23,9999-01-01,Staff
98183,Masami,Besselaar,1955-11-05,1988-09-09,9999-01-01,Senior Staff
98192,Sumali,Murtagh,1955-02-03,1986-02-10,9999-01-01,Engineer
98221,Jeanna,Bolotov,1955-01-08,1993-08-30,9999-01-01,Staff
98228,Troy,Sabnani,1955-06-13,1989-10-14,9999-01-01,Engineer
98234,Fox,Cyne,1955-06-23,1998-07-21,9999-01-01,Assistant Engineer
98246,Anestis,Mandell,1955-12-02,1989-10-31,9999-01-01,Senior Engineer
98253,Pragnesh,Homond,1955-01-11,1998-06-21,9999-01-01,Senior Engineer
98266,Naftaly,Gronowski,1955-02-01,1990-11-26,9999-01-01,Engineer
98307,Douadi,Leijenhorst,1955-10-06,1987-04-28,9999-01-01,Senior Staff
98335,Shao,Vuskovic,1955-07-19,1988-12-14,9999-01-01,Senior Engineer
98363,Arunachalam,Lorie,1955-04-24,1996-01-16,9999-01-01,Senior Staff
98375,Tadanori,Koblick,1955-06-27,1989-05-04,9999-01-01,Senior Engineer
98393,Lein,Juneja,1955-02-01,1998-01-21,9999-01-01,Staff
98424,Constantijn,Braunschweig,1955-09-02,1991-05-27,9999-01-01,Senior Engineer
98445,Spyrose,Constantine,1955-07-15,1988-07-26,9999-01-01,Senior Engineer
98500,Sarita,Bennet,1955-10-27,1986-09-05,9999-01-01,Staff
98506,Oddvar,Gyorkos,1955-07-01,1995-10-24,9999-01-01,Staff
98530,Arne,Bojadziev,1955-07-12,1991-05-01,9999-01-01,Senior Staff
98533,Tsvetan,Detkin,1955-11-08,1990-04-19,9999-01-01,Senior Engineer
98554,Ranga,Hainaut,1955-01-24,1995-08-21,9999-01-01,Engineer
98584,Branimir,Pintelas,1955-07-16,1993-03-15,9999-01-01,Senior Engineer
98594,Eldridge,Kruskal,1955-03-04,2000-01-25,9999-01-01,Engineer
98619,Sham,Debuse,1955-12-04,1991-09-03,9999-01-01,Engineer
98650,Pasqua,Rassart,1955-04-21,1998-01-29,9999-01-01,Senior Engineer
98663,Serenella,Segond,1955-06-10,1995-10-21,9999-01-01,Senior Staff
98678,Moti,Baby,1955-08-24,1997-05-10,9999-01-01,Senior Staff
98683,Charmane,Lodder,1955-04-09,1991-11-21,9999-01-01,Senior Engineer
98707,Parto,Servieres,1955-04-11,1991-06-17,9999-01-01,Senior Engineer
98711,Tadanori,Masamoto,1955-04-13,1989-01-07,9999-01-01,Senior Staff
98713,Stabislas,Luit,1955-06-09,1986-02-23,9999-01-01,Senior Staff
98745,Zhanqiu,Kitsuregawa,1955-06-16,1996-04-04,9999-01-01,Senior Engineer
98750,Shooichi,Braccini,1955-08-14,1986-12-30,9999-01-01,Senior Engineer
98760,Kazuhiko,Asser,1955-03-11,1989-02-20,9999-01-01,Senior Engineer
98793,Stevo,Merey,1955-01-13,1996-05-20,9999-01-01,Staff
98823,Tesuya,Hartvigsen,1955-05-15,1988-08-06,9999-01-01,Staff
98832,Margo,Akiyama,1955-05-10,1986-02-10,9999-01-01,Staff
98861,George,Bellmore,1955-09-05,1985-06-20,9999-01-01,Senior Staff
98874,Karsten,Hiraishi,1955-12-03,1997-06-24,9999-01-01,Staff
98905,Nikolaos,Negoita,1955-03-06,1985-09-13,9999-01-01,Senior Engineer
98911,Constantino,Kolvik,1955-09-30,1989-01-22,9999-01-01,Engineer
98945,Subir,Neiman,1955-11-06,1995-11-27,9999-01-01,Senior Engineer
98946,Jungsoon,Pleszkun,1955-08-31,1998-02-20,9999-01-01,Staff
98971,Heping,Turnbull,1955-04-11,1997-02-20,9999-01-01,Technique Leader
98973,Aemilian,Quittner,1955-07-11,2001-10-15,9999-01-01,Engineer
98992,Gonzalo,Heping,1955-06-02,1987-08-16,9999-01-01,Engineer
98996,Parke,Kalloufi,1955-01-21,1998-06-25,9999-01-01,Staff
99036,Rasiah,Feinberg,1955-04-14,1993-05-02,9999-01-01,Technique Leader
99041,Navin,Msuda,1955-01-02,1998-12-22,9999-01-01,Senior Staff
99064,Marin,Trogemann,1955-11-11,1995-09-29,9999-01-01,Senior Staff
99083,Sanjoy,Horswill,1955-10-01,1996-07-10,9999-01-01,Staff
99112,Elrique,Potthoff,1955-05-06,1989-06-25,9999-01-01,Engineer
99162,Alper,Lieblein,1955-03-31,1992-10-19,9999-01-01,Senior Staff
99167,Sachin,Rosaz,1955-10-20,1989-08-26,9999-01-01,Senior Engineer
99171,Kazuyasu,Syrotiuk,1955-10-10,1995-08-26,9999-01-01,Staff
99210,Irene,Morrin,1955-05-06,1985-05-19,9999-01-01,Senior Engineer
99237,Shigehito,Matzen,1955-08-06,1998-12-21,9999-01-01,Engineer
99247,Tran,Magalhaes,1955-06-12,1989-11-09,9999-01-01,Senior Engineer
99274,Taizo,Schurmann,1955-05-07,1985-06-14,9999-01-01,Senior Engineer
99284,Lena,Isaak,1955-01-14,1999-04-01,9999-01-01,Engineer
99297,Xinan,Erman,1955-12-01,1992-06-26,9999-01-01,Engineer
99300,Claudi,Bolotov,1955-12-26,1989-02-09,9999-01-01,Staff
99307,Moto,Thibadeau,1955-06-29,1987-08-23,9999-01-01,Senior Staff
99309,Kazuhito,Emiris,1955-05-30,1991-08-15,9999-01-01,Engineer
99340,Masaru,Selvestrel,1955-04-09,1987-10-16,9999-01-01,Senior Staff
99364,Xuejun,Fujisaki,1955-09-23,1992-02-28,9999-01-01,Senior Engineer
99376,Olivera,Blokdijk,1955-12-14,1989-08-20,9999-01-01,Senior Engineer
99390,Cristinel,Potthoff,1955-08-10,1992-03-17,9999-01-01,Senior Engineer
99397,Naftaly,Gyimothy,1955-04-23,1992-04-06,9999-01-01,Senior Engineer
99419,Hairong,Gewali,1955-04-11,1994-04-08,9999-01-01,Senior Engineer
99431,Prodip,Kusalik,1955-12-08,1999-03-22,9999-01-01,Senior Staff
99442,Sibyl,Uhrig,1955-11-13,1988-07-11,9999-01-01,Senior Staff
99492,Rosine,Gajiwala,1955-07-05,1992-07-24,9999-01-01,Senior Staff
99498,Chiradeep,Vadhan,1955-05-05,1989-08-03,9999-01-01,Staff
99508,Fumino,Furudate,1955-01-20,1992-02-29,9999-01-01,Senior Engineer
99520,Eran,Copas,1955-01-15,1995-02-02,9999-01-01,Senior Engineer
99527,Feipei,Duclos,1955-07-10,1994-08-12,9999-01-01,Engineer
99534,Izaskun,Vickson,1955-12-14,1999-12-20,9999-01-01,Technique Leader
99553,Navid,Emmerich,1955-01-15,1998-10-23,9999-01-01,Senior Engineer
99576,Nathalie,Anguita,1955-06-27,1992-04-05,9999-01-01,Senior Staff
99606,Kamran,Flowers,1955-05-02,1988-12-30,9999-01-01,Senior Staff
99622,Etsuo,Taneja,1955-03-26,1987-05-19,9999-01-01,Engineer
99650,Weicheng,Chartres,1955-01-08,1997-02-02,9999-01-01,Engineer
99655,Elvis,Borovoy,1955-08-02,1995-04-04,9999-01-01,Senior Engineer
99657,Uwe,Worfolk,1955-01-08,1996-12-13,9999-01-01,Senior Engineer
99671,Tsuneo,Leppanen,1955-09-25,1985-06-10,9999-01-01,Senior Staff
99688,Christophe,Noriega,1955-06-02,1985-03-01,9999-01-01,Staff
99689,Ayakannu,Simkin,1955-05-05,1993-01-19,9999-01-01,Senior Engineer
99692,Huican,Cmelik,1955-05-18,1990-06-13,9999-01-01,Staff
99705,Souichi,Bahr,1955-01-25,1989-11-04,9999-01-01,Staff
99714,Leah,Azevdeo,1955-11-05,1996-02-28,9999-01-01,Staff
99732,Mong,Aloia,1955-06-06,1996-04-07,9999-01-01,Staff
99747,Gil,Hofstetter,1955-04-04,1993-08-10,9999-01-01,Senior Engineer
99750,Boalin,Jarecki,1955-07-07,1997-03-22,9999-01-01,Staff
99752,Mani,Callaway,1955-10-04,1991-02-14,9999-01-01,Technique Leader
99772,Chenye,Magalhaes,1955-02-19,1991-06-28,9999-01-01,Senior Engineer
99794,Kristin,Garnick,1955-03-16,1999-01-23,9999-01-01,Engineer
99832,Avishai,Alameldin,1955-09-22,1996-05-30,9999-01-01,Staff
99838,Hidde,Menyhert,1955-05-15,2000-08-08,9999-01-01,Engineer
99880,Herbert,Conti,1955-07-31,1987-08-20,9999-01-01,Senior Staff
99890,Aemilian,Decleir,1955-02-05,1987-11-18,9999-01-01,Staff
99903,Boriana,Tsukune,1955-02-11,1996-11-11,9999-01-01,Staff
99927,Bernardo,Luck,1955-06-07,1986-03-11,9999-01-01,Engineer
99958,Leif,McFarlin,1955-08-10,1989-04-05,9999-01-01,Staff
99966,Masali,Ferretti,1955-10-05,1997-09-26,9999-01-01,Staff
100013,Gunilla,Bernardinello,1955-10-09,1986-04-10,9999-01-01,Engineer
100022,Iara,Lindenbaum,1955-03-03,1985-02-04,9999-01-01,Staff
100042,Raimond,Turnbull,1955-11-03,2000-01-11,9999-01-01,Staff
100102,Harngdar,Marciano,1955-02-06,1994-08-08,9999-01-01,Engineer
100115,Siddarth,Servieres,1955-10-04,1986-10-21,9999-01-01,Staff
100118,Sajjad,Goldhammer,1955-02-02,1999-10-28,9999-01-01,Technique Leader
100129,Guther,Meszaros,1955-01-27,1997-05-25,9999-01-01,Staff
100136,Piyawadee,Thiria,1955-12-19,1996-08-11,9999-01-01,Senior Engineer
100150,Yunming,Scallan,1955-10-21,1994-10-05,9999-01-01,Senior Engineer
100163,Maik,Magalhaes,1955-06-23,1989-07-28,9999-01-01,Senior Engineer
100180,Ohad,Lichtner,1955-06-12,1990-06-16,9999-01-01,Engineer
100214,Kiam,Seghrouchni,1955-12-05,1993-09-07,9999-01-01,Technique Leader
100237,Xinglin,Schmezko,1955-11-15,1999-07-12,9999-01-01,Assistant Engineer
100245,Wuxu,Berztiss,1955-04-16,1994-08-23,9999-01-01,Senior Staff
100277,Ravishankar,Baby,1955-08-08,1990-06-28,9999-01-01,Senior Engineer
100298,Matk,Journel,1955-11-23,1989-02-08,9999-01-01,Senior Staff
100322,Janalee,Bahr,1955-08-29,1985-03-21,9999-01-01,Senior Staff
100323,Jaana,Peyn,1955-12-05,1993-01-02,9999-01-01,Senior Engineer
100343,Masoud,Woycyznski,1955-12-20,1997-02-23,9999-01-01,Engineer
100356,Vasilis,Schmezko,1955-03-25,1991-11-26,9999-01-01,Senior Staff
100359,Vishwani,Speer,1955-05-10,1987-03-27,9999-01-01,Senior Engineer
100361,Roselyn,Masaki,1955-06-25,2000-01-27,9999-01-01,Staff
100382,Mariangiola,Wynblatt,1955-05-06,1988-05-25,9999-01-01,Senior Engineer
100384,Richara,Yurek,1955-09-22,1986-06-03,9999-01-01,Engineer
100405,Perry,Brookman,1955-04-08,1999-05-29,9999-01-01,Senior Engineer
100413,Mara,Schurmann,1955-11-09,1990-06-10,9999-01-01,Engineer
100419,Jaana,Leivant,1955-05-05,1992-01-10,9999-01-01,Staff
100443,Rosine,Shinomoto,1955-03-15,1995-05-08,9999-01-01,Engineer
100444,Arno,Itzigehl,1955-09-01,1985-05-15,9999-01-01,Senior Staff
100452,Guther,Lowrie,1955-10-17,1994-07-17,9999-01-01,Engineer
100473,Jeane,Lortz,1955-10-14,1997-11-17,9999-01-01,Staff
100484,Hitofumi,Thibadeau,1955-04-17,1997-04-06,9999-01-01,Engineer
100497,Tze,Fortenbacher,1955-06-20,1985-04-06,9999-01-01,Engineer
100507,Mart,Eiron,1955-10-19,1996-09-23,9999-01-01,Technique Leader
100515,Phuoc,Bratten,1955-07-14,1998-12-04,9999-01-01,Senior Engineer
100531,Toshiko,Kranzdorf,1955-02-10,1999-02-06,9999-01-01,Senior Engineer
100534,Aamer,Luga,1955-04-15,1996-04-08,9999-01-01,Staff
100569,Sreekrishna,Anandan,1955-10-24,1986-10-25,9999-01-01,Senior Engineer
100574,Lucien,Bennet,1955-07-18,2000-02-14,9999-01-01,Staff
100582,Karsten,Bouloucos,1955-09-20,1992-05-14,9999-01-01,Senior Engineer
100584,Yifei,Baranowski,1955-09-13,1995-01-30,9999-01-01,Staff
100591,Serif,Esposito,1955-06-13,1995-02-25,9999-01-01,Senior Staff
100609,Gina,Lakshmanan,1955-02-10,1994-09-26,9999-01-01,Senior Engineer
100611,Jamaludin,Alpin,1955-05-08,1991-10-30,9999-01-01,Senior Engineer
100653,Georgi,Maraist,1955-10-30,1988-10-28,9999-01-01,Senior Engineer
100656,Persi,Teitelbaum,1955-11-23,1996-11-10,9999-01-01,Engineer
100665,Valery,Parhami,1955-08-20,1995-06-05,9999-01-01,Staff
100670,Hideyuki,Bonifati,1955-10-06,1991-10-30,9999-01-01,Staff
100680,Xiping,Duclos,1955-04-13,1996-03-28,9999-01-01,Senior Staff
100684,Ranga,Demir,1955-05-30,1993-02-11,9999-01-01,Engineer
100721,Poornachandra,Bade,1955-09-11,1995-09-16,9999-01-01,Senior Engineer
100733,Vincent,Coombs,1955-04-28,1992-06-22,9999-01-01,Engineer
100748,Uriel,Marakhovsky,1955-11-21,1986-12-10,9999-01-01,Senior Staff
100753,Zsolt,Baca,1955-06-25,1999-02-12,9999-01-01,Senior Engineer
100769,Willard,Clemencon,1955-11-08,1990-04-29,9999-01-01,Senior Engineer
100841,Xinan,Pena,1955-06-24,1991-11-13,9999-01-01,Engineer
100842,Dante,Brobst,1955-01-19,1997-11-16,9999-01-01,Senior Engineer
